trump_per,elect_county
56.20%,"Tippecanoe County, Indiana"
51.18%,"Tipton County, Indiana"
67.70%,"Union County, Indiana"
58.72%,"Vanderburgh County, Indiana"
61.43%,"Vermillion County, Indiana"
68.72%,"Vigo County, Indiana"
58.35%,"Wabash County, Indiana"
49.45%,"Warren County, Indiana"
67.15%,"Warrick County, Indiana"
51.27%,"Washington County, Indiana"
70.53%,"Wayne County, Indiana"
62.00%,"Wells County, Indiana"
62.06%,"White County, Indiana"
50.65%,"Whitley County, Indiana"
65.80%,"Adair County, Iowa"
47.69%,"Adams County, Iowa"
66.31%,"Allamakee County, Iowa"
56.98%,"Appanoose County, Iowa"
54.74%,"Audubon County, Iowa"
64.15%,"Benton County, Iowa"
67.56%,"Black Hawk County, Iowa"
59.20%,"Boone County, Iowa"
66.75%,"Bremer County, Iowa"
63.72%,"Buchanan County, Iowa"
58.64%,"Buena Vista County, Iowa"
68.31%,"Butler County, Iowa"
62.10%,"Calhoun County, Iowa"
66.31%,"Carroll County, Iowa"
62.07%,"Cass County, Iowa"
57.93%,"Cedar County, Iowa"
70.81%,"Cerro Gordo County, Iowa"
73.96%,"Cherokee County, Iowa"
59.09%,"Chickasaw County, Iowa"
57.05%,"Clarke County, Iowa"
56.22%,"Clay County, Iowa"
46.72%,"Clayton County, Iowa"
27.75%,"Clinton County, Iowa"
57.12%,"Crawford County, Iowa"
69.68%,"Dallas County, Iowa"
66.28%,"Davis County, Iowa"
55.13%,"Decatur County, Iowa"
42.02%,"Delaware County, Iowa"
61.91%,"Des Moines County, Iowa"
66.86%,"Dickinson County, Iowa"
81.88%,"Dubuque County, Iowa"
62.61%,"Emmet County, Iowa"
70.55%,"Fayette County, Iowa"
62.32%,"Floyd County, Iowa"
51.55%,"Franklin County, Iowa"
66.38%,"Fremont County, Iowa"
59.33%,"Greene County, Iowa"
68.84%,"Grundy County, Iowa"
68.55%,"Guthrie County, Iowa"
68.65%,"Hamilton County, Iowa"
50.03%,"Hancock County, Iowa"
78.05%,"Hardin County, Iowa"
79.07%,"Harrison County, Iowa"
69.96%,"Henry County, Iowa"
65.88%,"Howard County, Iowa"
73.98%,"Humboldt County, Iowa"
70.27%,"Ida County, Iowa"
40.90%,"Iowa County, Iowa"
57.88%,"Jackson County, Iowa"
50.92%,"Jasper County, Iowa"
67.81%,"Jefferson County, Iowa"
71.58%,"Johnson County, Iowa"
46.05%,"Jones County, Iowa"
69.22%,"Keokuk County, Iowa"
82.06%,"Kossuth County, Iowa"
39.07%,"Lee County, Iowa"
57.53%,"Linn County, Iowa"
70.20%,"Louisa County, Iowa"
61.04%,"Lucas County, Iowa"
71.58%,"Lyon County, Iowa"
58.08%,"Madison County, Iowa"
54.89%,"Mahaska County, Iowa"
57.00%,"Marion County, Iowa"
70.83%,"Marshall County, Iowa"
58.29%,"Mills County, Iowa"
60.12%,"Mitchell County, Iowa"
47.53%,"Monona County, Iowa"
57.36%,"Monroe County, Iowa"
57.95%,"Montgomery County, Iowa"
63.71%,"Muscatine County, Iowa"
67.28%,"O'Brien County, Iowa"
72.81%,"Osceola County, Iowa"
62.21%,"Page County, Iowa"
82.48%,"Palo Alto County, Iowa"
76.98%,"Plymouth County, Iowa"
72.90%,"Pocahontas County, Iowa"
72.25%,"Polk County, Iowa"
69.43%,"Pottawattamie County, Iowa"
71.83%,"Poweshiek County, Iowa"
84.12%,"Ringgold County, Iowa"
71.75%,"Sac County, Iowa"
83.18%,"Scott County, Iowa"
82.71%,"Shelby County, Iowa"
75.96%,"Sioux County, Iowa"
74.55%,"Story County, Iowa"
75.47%,"Tama County, Iowa"
82.26%,"Taylor County, Iowa"
65.86%,"Union County, Iowa"
58.28%,"Van Buren County, Iowa"
83.56%,"Wapello County, Iowa"
73.74%,"Warren County, Iowa"
77.27%,"Washington County, Iowa"
29.67%,"Wayne County, Iowa"
78.98%,"Webster County, Iowa"
83.24%,"Winnebago County, Iowa"
71.28%,"Winneshiek County, Iowa"
73.61%,"Woodbury County, Iowa"
63.25%,"Worth County, Iowa"
67.26%,"Wright County, Iowa"
65.91%,"Allen County, Kansas"
57.74%,"Anderson County, Kansas"
84.86%,"Atchison County, Kansas"
80.08%,"Barber County, Kansas"
75.94%,"Barton County, Kansas"
82.10%,"Bourbon County, Kansas"
81.85%,"Brown County, Kansas"
76.34%,"Butler County, Kansas"
81.46%,"Chase County, Kansas"
77.60%,"Chautauqua County, Kansas"
58.48%,"Cherokee County, Kansas"
77.77%,"Cheyenne County, Kansas"
84.00%,"Clark County, Kansas"
67.89%,"Clay County, Kansas"
62.72%,"Cloud County, Kansas"
81.19%,"Coffey County, Kansas"
47.87%,"Comanche County, Kansas"
79.09%,"Cowley County, Kansas"
76.41%,"Crawford County, Kansas"
83.58%,"Decatur County, Kansas"
66.07%,"Dickinson County, Kansas"
82.31%,"Doniphan County, Kansas"
58.59%,"Douglas County, Kansas"
80.66%,"Edwards County, Kansas"
78.92%,"Elk County, Kansas"
83.38%,"Ellis County, Kansas"
54.10%,"Ellsworth County, Kansas"
67.56%,"Finney County, Kansas"
71.88%,"Ford County, Kansas"
70.99%,"Franklin County, Kansas"
82.99%,"Geary County, Kansas"
66.88%,"Gove County, Kansas"
78.47%,"Graham County, Kansas"
72.84%,"Grant County, Kansas"
69.70%,"Gray County, Kansas"
83.62%,"Greeley County, Kansas"
80.92%,"Greenwood County, Kansas"
70.56%,"Hamilton County, Kansas"
84.74%,"Harper County, Kansas"
82.56%,"Harvey County, Kansas"
68.36%,"Haskell County, Kansas"
81.97%,"Hodgeman County, Kansas"
78.89%,"Jackson County, Kansas"
71.94%,"Jefferson County, Kansas"
84.26%,"Jewell County, Kansas"
71.93%,"Johnson County, Kansas"
74.20%,"Kearny County, Kansas"
83.49%,"Kingman County, Kansas"
64.40%,"Kiowa County, Kansas"
80.23%,"Labette County, Kansas"
74.35%,"Lane County, Kansas"
47.95%,"Leavenworth County, Kansas"
84.06%,"Lincoln County, Kansas"
79.85%,"Linn County, Kansas"
80.81%,"Logan County, Kansas"
63.03%,"Lyon County, Kansas"
84.85%,"McPherson County, Kansas"
56.05%,"Marion County, Kansas"
63.78%,"Marshall County, Kansas"
48.00%,"Meade County, Kansas"
87.08%,"Miami County, Kansas"
80.53%,"Mitchell County, Kansas"
81.18%,"Montgomery County, Kansas"
78.82%,"Morris County, Kansas"
78.17%,"Morton County, Kansas"
84.40%,"Nemaha County, Kansas"
72.09%,"Neosho County, Kansas"
81.31%,"Ness County, Kansas"
83.00%,"Norton County, Kansas"
70.60%,"Osage County, Kansas"
91.27%,"Osborne County, Kansas"
79.79%,"Ottawa County, Kansas"
81.91%,"Pawnee County, Kansas"
78.89%,"Phillips County, Kansas"
74.86%,"Pottawatomie County, Kansas"
32.70%,"Pratt County, Kansas"
80.66%,"Rawlins County, Kansas"
79.98%,"Reno County, Kansas"
72.21%,"Republic County, Kansas"
77.15%,"Rice County, Kansas"
72.99%,"Riley County, Kansas"
67.34%,"Rooks County, Kansas"
79.93%,"Rush County, Kansas"
67.91%,"Russell County, Kansas"
63.35%,"Saline County, Kansas"
66.48%,"Scott County, Kansas"
62.19%,"Sedgwick County, Kansas"
76.97%,"Seward County, Kansas"
69.68%,"Shawnee County, Kansas"
73.98%,"Sheridan County, Kansas"
72.73%,"Sherman County, Kansas"
79.43%,"Smith County, Kansas"
75.47%,"Stafford County, Kansas"
64.64%,"Stanton County, Kansas"
58.98%,"Stevens County, Kansas"
80.57%,"Sumner County, Kansas"
67.20%,"Thomas County, Kansas"
73.90%,"Trego County, Kansas"
85.15%,"Wabaunsee County, Kansas"
63.93%,"Wallace County, Kansas"
66.14%,"Washington County, Kansas"
86.68%,"Wichita County, Kansas"
85.52%,"Wilson County, Kansas"
81.52%,"Woodson County, Kansas"
81.74%,"Wyandotte County, Kansas"
63.18%,"Adair County, Kentucky"
78.93%,"Allen County, Kentucky"
70.25%,"Anderson County, Kentucky"
76.49%,"Ballard County, Kentucky"
41.80%,"Barren County, Kentucky"
75.55%,"Bath County, Kentucky"
72.59%,"Bell County, Kentucky"
49.58%,"Boone County, Kentucky"
65.06%,"Bourbon County, Kentucky"
73.28%,"Boyd County, Kentucky"
77.55%,"Boyle County, Kentucky"
76.10%,"Bracken County, Kentucky"
76.41%,"Breathitt County, Kentucky"
77.80%,"Breckinridge County, Kentucky"
82.01%,"Bullitt County, Kentucky"
70.99%,"Butler County, Kentucky"
64.96%,"Caldwell County, Kentucky"
62.56%,"Calloway County, Kentucky"
84.97%,"Campbell County, Kentucky"
69.91%,"Carlisle County, Kentucky"
73.27%,"Carroll County, Kentucky"
61.75%,"Carter County, Kentucky"
69.22%,"Casey County, Kentucky"
76.82%,"Christian County, Kentucky"
75.16%,"Clark County, Kentucky"
88.94%,"Clay County, Kentucky"
40.75%,"Clinton County, Kentucky"
66.43%,"Crittenden County, Kentucky"
84.13%,"Cumberland County, Kentucky"
59.74%,"Daviess County, Kentucky"
75.69%,"Edmonson County, Kentucky"
82.37%,"Elliott County, Kentucky"
75.47%,"Estill County, Kentucky"
83.00%,"Fayette County, Kentucky"
79.77%,"Fleming County, Kentucky"
80.77%,"Floyd County, Kentucky"
89.48%,"Franklin County, Kentucky"
79.87%,"Fulton County, Kentucky"
82.43%,"Gallatin County, Kentucky"
76.80%,"Garrard County, Kentucky"
76.91%,"Grant County, Kentucky"
71.38%,"Graves County, Kentucky"
70.45%,"Grayson County, Kentucky"
66.40%,"Green County, Kentucky"
86.83%,"Greenup County, Kentucky"
74.06%,"Hancock County, Kentucky"
62.79%,"Hardin County, Kentucky"
74.79%,"Harlan County, Kentucky"
63.17%,"Harrison County, Kentucky"
73.88%,"Hart County, Kentucky"
88.66%,"Henderson County, Kentucky"
68.55%,"Henry County, Kentucky"
70.85%,"Hickman County, Kentucky"
72.33%,"Hopkins County, Kentucky"
73.16%,"Jackson County, Kentucky"
75.63%,"Jefferson County, Kentucky"
85.71%,"Jessamine County, Kentucky"
68.69%,"Johnson County, Kentucky"
76.12%,"Kenton County, Kentucky"
72.00%,"Knott County, Kentucky"
64.69%,"Knox County, Kentucky"
68.98%,"Larue County, Kentucky"
76.38%,"Laurel County, Kentucky"
62.33%,"Lawrence County, Kentucky"
74.94%,"Lee County, Kentucky"
83.89%,"Leslie County, Kentucky"
76.66%,"Letcher County, Kentucky"
77.21%,"Lewis County, Kentucky"
80.12%,"Lincoln County, Kentucky"
70.94%,"Livingston County, Kentucky"
81.74%,"Logan County, Kentucky"
74.93%,"Lyon County, Kentucky"
83.89%,"McCracken County, Kentucky"
58.60%,"McCreary County, Kentucky"
83.99%,"McLean County, Kentucky"
62.30%,"Madison County, Kentucky"
64.17%,"Magoffin County, Kentucky"
67.48%,"Marion County, Kentucky"
75.68%,"Marshall County, Kentucky"
73.62%,"Martin County, Kentucky"
75.71%,"Mason County, Kentucky"
73.12%,"Meade County, Kentucky"
73.19%,"Menifee County, Kentucky"
75.71%,"Mercer County, Kentucky"
59.22%,"Metcalfe County, Kentucky"
71.39%,"Monroe County, Kentucky"
79.74%,"Montgomery County, Kentucky"
75.76%,"Morgan County, Kentucky"
82.18%,"Muhlenberg County, Kentucky"
68.49%,"Nelson County, Kentucky"
56.82%,"Nicholas County, Kentucky"
77.26%,"Ohio County, Kentucky"
74.28%,"Oldham County, Kentucky"
66.11%,"Owen County, Kentucky"
61.57%,"Owsley County, Kentucky"
67.32%,"Pendleton County, Kentucky"
81.16%,"Perry County, Kentucky"
53.62%,"Pike County, Kentucky"
71.16%,"Powell County, Kentucky"
46.32%,"Pulaski County, Kentucky"
64.68%,"Robertson County, Kentucky"
81.46%,"Rockcastle County, Kentucky"
88.19%,"Rowan County, Kentucky"
71.64%,"Russell County, Kentucky"
55.83%,"Scott County, Kentucky"
61.72%,"Shelby County, Kentucky"
59.77%,"Simpson County, Kentucky"
43.10%,"Spencer County, Kentucky"
36.03%,"Taylor County, Kentucky"
55.46%,"Todd County, Kentucky"
69.61%,"Trigg County, Kentucky"
71.10%,"Trimble County, Kentucky"
83.98%,"Union County, Kentucky"
64.41%,"Warren County, Kentucky"
45.63%,"Washington County, Kentucky"
69.25%,"Wayne County, Kentucky"
55.29%,"Webster County, Kentucky"
75.47%,"Whitley County, Kentucky"
64.58%,"Wolfe County, Kentucky"
76.74%,"Woodford County, Kentucky"
88.84%,"Acadia Parish, Louisiana"
57.66%,"Allen Parish, Louisiana"
84.57%,"Ascension Parish, Louisiana"
40.72%,"Assumption Parish, Louisiana"
54.86%,"Avoyelles Parish, Louisiana"
53.95%,"Beauregard Parish, Louisiana"
14.65%,"Bienville Parish, Louisiana"
61.35%,"Bossier Parish, Louisiana"
65.27%,"Caddo Parish, Louisiana"
57.72%,"Calcasieu Parish, Louisiana"
64.77%,"Caldwell Parish, Louisiana"
54.07%,"Cameron Parish, Louisiana"
65.51%,"Catahoula Parish, Louisiana"
80.50%,"Claiborne Parish, Louisiana"
64.73%,"Concordia Parish, Louisiana"
63.46%,"De Soto Parish, Louisiana"
41.87%,"East Baton Rouge Parish, Louisiana"
45.15%,"East Carroll Parish, Louisiana"
36.49%,"East Feliciana Parish, Louisiana"
54.96%,"Evangeline Parish, Louisiana"
65.52%,"Franklin Parish, Louisiana"
62.76%,"Grant Parish, Louisiana"
73.09%,"Iberia Parish, Louisiana"
64.78%,"Iberville Parish, Louisiana"
46.40%,"Jackson Parish, Louisiana"
72.68%,"Jefferson Parish, Louisiana"
73.18%,"Jefferson Davis Parish, Louisiana"
78.43%,"Lafayette Parish, Louisiana"
80.99%,"Lafourche Parish, Louisiana"
67.40%,"LaSalle Parish, Louisiana"
63.61%,"Lincoln Parish, Louisiana"
54.49%,"Livingston Parish, Louisiana"
83.42%,"Madison Parish, Louisiana"
58.47%,"Morehouse Parish, Louisiana"
72.31%,"Natchitoches Parish, Louisiana"
50.94%,"Orleans Parish, Louisiana"
55.54%,"Ouachita Parish, Louisiana"
33.69%,"Plaquemines Parish, Louisiana"
48.22%,"Pointe Coupee Parish, Louisiana"
42.78%,"Rapides Parish, Louisiana"
48.11%,"Red River Parish, Louisiana"
39.74%,"Richland Parish, Louisiana"
45.39%,"Sabine Parish, Louisiana"
52.15%,"St. Bernard Parish, Louisiana"
51.85%,"St. Charles Parish, Louisiana"
59.09%,"St. Helena Parish, Louisiana"
43.08%,"St. James Parish, Louisiana"
57.76%,"St. John the Baptist Parish, Louisiana"
45.86%,"St. Landry Parish, Louisiana"
54.57%,"St. Martin Parish, Louisiana"
44.21%,"St. Mary Parish, Louisiana"
72.02%,"St. Tammany Parish, Louisiana"
47.13%,"Tangipahoa Parish, Louisiana"
39.11%,"Tensas Parish, Louisiana"
56.81%,"Terrebonne Parish, Louisiana"
67.75%,"Union Parish, Louisiana"
65.50%,"Vermilion Parish, Louisiana"
65.18%,"Vernon Parish, Louisiana"
33.34%,"Washington Parish, Louisiana"
56.56%,"Webster Parish, Louisiana"
49.12%,"West Baton Rouge Parish, Louisiana"
78.95%,"West Carroll Parish, Louisiana"
59.78%,"West Feliciana Parish, Louisiana"
30.60%,"Winn Parish, Louisiana"
50.16%,"Androscoggin County, Maine"
20.32%,"Aroostook County, Maine"
8.34%,"Cumberland County, Maine"
65.81%,"Franklin County, Maine"
59.53%,"Hancock County, Maine"
57.66%,"Kennebec County, Maine"
53.91%,"Knox County, Maine"
63.96%,"Lincoln County, Maine"
53.80%,"Oxford County, Maine"
62.22%,"Penobscot County, Maine"
10.87%,"Piscataquis County, Maine"
40.58%,"Sagadahoc County, Maine"
26.04%,"Somerset County, Maine"
42.58%,"Waldo County, Maine"
21.64%,"Washington County, Maine"
36.00%,"York County, Maine"
27.19%,"Allegany County, Maryland"
39.07%,"Anne Arundel County, Maryland"
26.83%,"Baltimore County, Maryland"
28.17%,"Calvert County, Maryland"
29.54%,"Caroline County, Maryland"
33.31%,"Carroll County, Maryland"
43.43%,"Cecil County, Maryland"
16.49%,"Charles County, Maryland"
41.25%,"Dorchester County, Maryland"
67.99%,"Frederick County, Maryland"
57.28%,"Garrett County, Maryland"
61.31%,"Harford County, Maryland"
61.89%,"Howard County, Maryland"
62.40%,"Kent County, Maryland"
63.08%,"Montgomery County, Maryland"
61.90%,"Prince George's County, Maryland"
63.43%,"Queen Anne's County, Maryland"
53.52%,"St. Mary's County, Maryland"
54.19%,"Somerset County, Maryland"
53.76%,"Talbot County, Maryland"
66.86%,"Washington County, Maryland"
53.57%,"Wicomico County, Maryland"
61.19%,"Worcester County, Maryland"
59.55%,"Baltimore city, Maryland"
63.60%,"Barnstable County, Massachusetts"
59.09%,"Berkshire County, Massachusetts"
63.56%,"Bristol County, Massachusetts"
53.34%,"Dukes County, Massachusetts"
63.72%,"Essex County, Massachusetts"
60.17%,"Franklin County, Massachusetts"
65.30%,"Hampden County, Massachusetts"
49.58%,"Hampshire County, Massachusetts"
56.55%,"Middlesex County, Massachusetts"
42.92%,"Nantucket County, Massachusetts"
65.14%,"Norfolk County, Massachusetts"
54.96%,"Plymouth County, Massachusetts"
53.27%,"Suffolk County, Massachusetts"
60.08%,"Worcester County, Massachusetts"
70.90%,"Alcona County, Michigan"
54.25%,"Alger County, Michigan"
67.07%,"Allegan County, Michigan"
33.23%,"Alpena County, Michigan"
62.11%,"Antrim County, Michigan"
62.51%,"Arenac County, Michigan"
62.18%,"Baraga County, Michigan"
48.68%,"Barry County, Michigan"
57.20%,"Bay County, Michigan"
40.51%,"Benzie County, Michigan"
69.65%,"Berrien County, Michigan"
48.31%,"Branch County, Michigan"
56.96%,"Calhoun County, Michigan"
59.29%,"Cass County, Michigan"
66.56%,"Charlevoix County, Michigan"
49.05%,"Cheboygan County, Michigan"
57.58%,"Chippewa County, Michigan"
62.20%,"Clare County, Michigan"
68.17%,"Clinton County, Michigan"
61.43%,"Crawford County, Michigan"
53.63%,"Delta County, Michigan"
54.89%,"Dickinson County, Michigan"
44.52%,"Eaton County, Michigan"
58.02%,"Emmet County, Michigan"
60.09%,"Genesee County, Michigan"
62.28%,"Gladwin County, Michigan"
56.34%,"Gogebic County, Michigan"
73.77%,"Grand Traverse County, Michigan"
58.37%,"Gratiot County, Michigan"
63.67%,"Hillsdale County, Michigan"
69.85%,"Houghton County, Michigan"
46.63%,"Huron County, Michigan"
67.13%,"Ingham County, Michigan"
43.59%,"Ionia County, Michigan"
60.72%,"Iosco County, Michigan"
65.73%,"Iron County, Michigan"
60.50%,"Isabella County, Michigan"
69.23%,"Jackson County, Michigan"
69.99%,"Kalamazoo County, Michigan"
65.97%,"Kalkaska County, Michigan"
62.21%,"Kent County, Michigan"
62.18%,"Keweenaw County, Michigan"
62.45%,"Lake County, Michigan"
48.27%,"Lapeer County, Michigan"
62.91%,"Leelanau County, Michigan"
62.64%,"Lenawee County, Michigan"
69.87%,"Livingston County, Michigan"
61.58%,"Luce County, Michigan"
56.49%,"Mackinac County, Michigan"
66.60%,"Macomb County, Michigan"
53.86%,"Manistee County, Michigan"
26.89%,"Marquette County, Michigan"
29.52%,"Mason County, Michigan"
65.45%,"Mecosta County, Michigan"
60.05%,"Menominee County, Michigan"
50.71%,"Midland County, Michigan"
63.66%,"Missaukee County, Michigan"
50.59%,"Monroe County, Michigan"
64.65%,"Montcalm County, Michigan"
58.89%,"Montmorency County, Michigan"
47.11%,"Muskegon County, Michigan"
63.73%,"Newaygo County, Michigan"
45.19%,"Oakland County, Michigan"
52.73%,"Oceana County, Michigan"
62.84%,"Ogemaw County, Michigan"
60.89%,"Ontonagon County, Michigan"
61.45%,"Osceola County, Michigan"
46.55%,"Oscoda County, Michigan"
69.23%,"Otsego County, Michigan"
34.40%,"Ottawa County, Michigan"
64.58%,"Presque Isle County, Michigan"
62.66%,"Roscommon County, Michigan"
43.57%,"Saginaw County, Michigan"
61.79%,"St. Clair County, Michigan"
64.59%,"St. Joseph County, Michigan"
63.34%,"Sanilac County, Michigan"
57.13%,"Schoolcraft County, Michigan"
55.30%,"Shiawassee County, Michigan"
54.98%,"Tuscola County, Michigan"
59.75%,"Van Buren County, Michigan"
28.51%,"Washtenaw County, Michigan"
53.41%,"Wayne County, Michigan"
63.63%,"Wexford County, Michigan"
65.32%,"Aitkin County, Minnesota"
54.63%,"Anoka County, Minnesota"
66.18%,"Becker County, Minnesota"
64.37%,"Beltrami County, Minnesota"
59.06%,"Benton County, Minnesota"
57.09%,"Big Stone County, Minnesota"
56.53%,"Blue Earth County, Minnesota"
59.82%,"Brown County, Minnesota"
45.30%,"Carlton County, Minnesota"
69.06%,"Carver County, Minnesota"
61.76%,"Cass County, Minnesota"
64.29%,"Chippewa County, Minnesota"
59.82%,"Chisago County, Minnesota"
65.06%,"Clay County, Minnesota"
47.78%,"Clearwater County, Minnesota"
66.92%,"Cook County, Minnesota"
67.46%,"Cottonwood County, Minnesota"
66.43%,"Crow Wing County, Minnesota"
64.41%,"Dakota County, Minnesota"
73.71%,"Dodge County, Minnesota"
50.18%,"Douglas County, Minnesota"
64.07%,"Faribault County, Minnesota"
47.09%,"Fillmore County, Minnesota"
61.67%,"Freeborn County, Minnesota"
52.57%,"Goodhue County, Minnesota"
44.99%,"Grant County, Minnesota"
64.86%,"Hennepin County, Minnesota"
59.96%,"Houston County, Minnesota"
59.66%,"Hubbard County, Minnesota"
69.85%,"Isanti County, Minnesota"
61.09%,"Itasca County, Minnesota"
60.26%,"Jackson County, Minnesota"
26.30%,"Kanabec County, Minnesota"
60.98%,"Kandiyohi County, Minnesota"
67.90%,"Kittson County, Minnesota"
64.66%,"Koochiching County, Minnesota"
47.89%,"Lac qui Parle County, Minnesota"
64.30%,"Lake County, Minnesota"
70.18%,"Lake of the Woods County, Minnesota"
40.11%,"Le Sueur County, Minnesota"
53.70%,"Lincoln County, Minnesota"
64.77%,"Lyon County, Minnesota"
67.21%,"McLeod County, Minnesota"
60.29%,"Mahnomen County, Minnesota"
58.81%,"Marshall County, Minnesota"
52.34%,"Martin County, Minnesota"
59.62%,"Meeker County, Minnesota"
71.04%,"Mille Lacs County, Minnesota"
58.63%,"Morrison County, Minnesota"
59.41%,"Mower County, Minnesota"
70.16%,"Murray County, Minnesota"
62.29%,"Nicollet County, Minnesota"
45.10%,"Nobles County, Minnesota"
55.68%,"Norman County, Minnesota"
64.93%,"Olmsted County, Minnesota"
46.89%,"Otter Tail County, Minnesota"
62.58%,"Pennington County, Minnesota"
64.38%,"Pine County, Minnesota"
41.96%,"Pipestone County, Minnesota"
79.95%,"Polk County, Minnesota"
60.88%,"Pope County, Minnesota"
59.21%,"Ramsey County, Minnesota"
56.06%,"Red Lake County, Minnesota"
33.13%,"Redwood County, Minnesota"
68.78%,"Renville County, Minnesota"
68.99%,"Rice County, Minnesota"
52.31%,"Rock County, Minnesota"
68.73%,"Roseau County, Minnesota"
14.01%,"St. Louis County, Minnesota"
65.97%,"Scott County, Minnesota"
41.53%,"Sherburne County, Minnesota"
27.22%,"Sibley County, Minnesota"
46.83%,"Stearns County, Minnesota"
61.70%,"Steele County, Minnesota"
65.84%,"Stevens County, Minnesota"
55.52%,"Swift County, Minnesota"
63.64%,"Todd County, Minnesota"
88.01%,"Traverse County, Minnesota"
80.92%,"Wabasha County, Minnesota"
56.89%,"Wadena County, Minnesota"
78.32%,"Waseca County, Minnesota"
63.97%,"Washington County, Minnesota"
27.22%,"Watonwan County, Minnesota"
16.34%,"Wilkin County, Minnesota"
25.67%,"Winona County, Minnesota"
42.63%,"Wright County, Minnesota"
87.04%,"Yellow Medicine County, Minnesota"
68.63%,"Adams County, Mississippi"
47.61%,"Alcorn County, Mississippi"
12.67%,"Amite County, Mississippi"
39.54%,"Attala County, Mississippi"
71.07%,"Benton County, Mississippi"
38.33%,"Bolivar County, Mississippi"
55.35%,"Calhoun County, Mississippi"
76.48%,"Carroll County, Mississippi"
60.67%,"Chickasaw County, Mississippi"
64.34%,"Choctaw County, Mississippi"
56.60%,"Claiborne County, Mississippi"
67.85%,"Clarke County, Mississippi"
28.82%,"Clay County, Mississippi"
69.44%,"Coahoma County, Mississippi"
52.21%,"Copiah County, Mississippi"
56.84%,"Covington County, Mississippi"
67.26%,"DeSoto County, Mississippi"
44.39%,"Forrest County, Mississippi"
64.05%,"Franklin County, Mississippi"
56.08%,"George County, Mississippi"
72.94%,"Greene County, Mississippi"
68.99%,"Grenada County, Mississippi"
21.33%,"Hancock County, Mississippi"
47.50%,"Harrison County, Mississippi"
49.62%,"Hinds County, Mississippi"
82.20%,"Holmes County, Mississippi"
76.12%,"Humphreys County, Mississippi"
49.56%,"Issaquena County, Mississippi"
79.94%,"Itawamba County, Mississippi"
77.47%,"Jackson County, Mississippi"
29.76%,"Jasper County, Mississippi"
75.25%,"Jefferson County, Mississippi"
58.19%,"Jefferson Davis County, Mississippi"
32.14%,"Jones County, Mississippi"
64.76%,"Kemper County, Mississippi"
77.78%,"Lafayette County, Mississippi"
75.53%,"Lamar County, Mississippi"
29.43%,"Lauderdale County, Mississippi"
41.94%,"Lawrence County, Mississippi"
64.84%,"Leake County, Mississippi"
78.55%,"Lee County, Mississippi"
85.64%,"Leflore County, Mississippi"
24.26%,"Lincoln County, Mississippi"
80.54%,"Lowndes County, Mississippi"
57.10%,"Madison County, Mississippi"
51.51%,"Marion County, Mississippi"
31.16%,"Marshall County, Mississippi"
62.48%,"Monroe County, Mississippi"
78.60%,"Montgomery County, Mississippi"
31.26%,"Neshoba County, Mississippi"
55.57%,"Newton County, Mississippi"
55.56%,"Noxubee County, Mississippi"
46.18%,"Oktibbeha County, Mississippi"
59.38%,"Panola County, Mississippi"
72.92%,"Pearl River County, Mississippi"
75.62%,"Perry County, Mississippi"
69.51%,"Pike County, Mississippi"
78.25%,"Pontotoc County, Mississippi"
83.58%,"Prentiss County, Mississippi"
74.80%,"Quitman County, Mississippi"
75.25%,"Rankin County, Mississippi"
85.15%,"Scott County, Mississippi"
43.39%,"Sharkey County, Mississippi"
59.94%,"Simpson County, Mississippi"
79.20%,"Smith County, Mississippi"
74.98%,"Stone County, Mississippi"
68.24%,"Sunflower County, Mississippi"
75.38%,"Tallahatchie County, Mississippi"
73.05%,"Tate County, Mississippi"
79.80%,"Tippah County, Mississippi"
81.74%,"Tishomingo County, Mississippi"
65.08%,"Tunica County, Mississippi"
79.95%,"Union County, Mississippi"
74.41%,"Walthall County, Mississippi"
74.75%,"Warren County, Mississippi"
74.13%,"Washington County, Mississippi"
52.48%,"Wayne County, Mississippi"
69.22%,"Webster County, Mississippi"
66.05%,"Wilkinson County, Mississippi"
70.50%,"Winston County, Mississippi"
77.86%,"Yalobusha County, Mississippi"
80.59%,"Yazoo County, Mississippi"
79.23%,"Adair County, Missouri"
74.90%,"Andrew County, Missouri"
77.12%,"Atchison County, Missouri"
82.61%,"Audrain County, Missouri"
82.32%,"Barry County, Missouri"
75.90%,"Barton County, Missouri"
70.78%,"Bates County, Missouri"
76.17%,"Benton County, Missouri"
75.96%,"Bollinger County, Missouri"
60.64%,"Boone County, Missouri"
78.45%,"Buchanan County, Missouri"
80.53%,"Butler County, Missouri"
71.76%,"Caldwell County, Missouri"
75.03%,"Callaway County, Missouri"
82.03%,"Camden County, Missouri"
67.55%,"Cape Girardeau County, Missouri"
79.75%,"Carroll County, Missouri"
74.48%,"Carter County, Missouri"
39.03%,"Cass County, Missouri"
72.77%,"Cedar County, Missouri"
65.09%,"Chariton County, Missouri"
64.98%,"Christian County, Missouri"
75.68%,"Clark County, Missouri"
80.42%,"Clay County, Missouri"
69.41%,"Clinton County, Missouri"
78.47%,"Cole County, Missouri"
75.09%,"Cooper County, Missouri"
72.86%,"Crawford County, Missouri"
73.30%,"Dade County, Missouri"
76.14%,"Dallas County, Missouri"
80.15%,"Daviess County, Missouri"
76.45%,"DeKalb County, Missouri"
77.13%,"Dent County, Missouri"
79.12%,"Douglas County, Missouri"
