labor_force,employed,unemployed,unemp_rate,bls_county
"8,408","7,956",452,5.4,"Mitchell County, Georgia"
"13,043","12,564",479,3.7,"Monroe County, Georgia"
"3,799","3,582",217,5.7,"Montgomery County, Georgia"
"9,067","8,744",323,3.6,"Morgan County, Georgia"
"15,943","15,096",847,5.3,"Murray County, Georgia"
"79,354","75,325","4,029",5.1,"Muscogee County, Georgia"
"51,780","49,474","2,306",4.5,"Newton County, Georgia"
"19,687","19,105",582,3,"Oconee County, Georgia"
"7,124","6,863",261,3.7,"Oglethorpe County, Georgia"
"83,868","80,981","2,887",3.4,"Paulding County, Georgia"
"11,911","11,304",607,5.1,"Peach County, Georgia"
"15,158","14,626",532,3.5,"Pickens County, Georgia"
"8,686","8,352",334,3.8,"Pierce County, Georgia"
"8,756","8,437",319,3.6,"Pike County, Georgia"
"18,522","17,746",776,4.2,"Polk County, Georgia"
"4,134","3,958",176,4.3,"Pulaski County, Georgia"
"8,223","7,815",408,5,"Putnam County, Georgia"
830,784,46,5.5,"Quitman County, Georgia"
"7,092","6,808",284,4,"Rabun County, Georgia"
"2,489","2,343",146,5.9,"Randolph County, Georgia"
"86,626","82,166","4,460",5.1,"Richmond County, Georgia"
"44,875","42,903","1,972",4.4,"Rockdale County, Georgia"
"2,193","2,091",102,4.7,"Schley County, Georgia"
"5,330","5,042",288,5.4,"Screven County, Georgia"
"3,062","2,900",162,5.3,"Seminole County, Georgia"
"28,551","27,209","1,342",4.7,"Spalding County, Georgia"
"10,964","10,468",496,4.5,"Stephens County, Georgia"
"2,352","2,242",110,4.7,"Stewart County, Georgia"
"12,782","12,025",757,5.9,"Sumter County, Georgia"
"2,835","2,692",143,5,"Talbot County, Georgia"
585,555,30,5.1,"Taliaferro County, Georgia"
"9,692","9,285",407,4.2,"Tattnall County, Georgia"
"2,784","2,602",182,6.5,"Taylor County, Georgia"
"4,375","4,078",297,6.8,"Telfair County, Georgia"
"3,673","3,432",241,6.6,"Terrell County, Georgia"
"16,925","16,127",798,4.7,"Thomas County, Georgia"
"19,337","18,561",776,4,"Tift County, Georgia"
"11,945","11,251",694,5.8,"Toombs County, Georgia"
"3,886","3,673",213,5.5,"Towns County, Georgia"
"2,704","2,547",157,5.8,"Treutlen County, Georgia"
"36,651","35,295","1,356",3.7,"Troup County, Georgia"
"3,185","3,023",162,5.1,"Turner County, Georgia"
"2,925","2,753",172,5.9,"Twiggs County, Georgia"
"10,317","9,941",376,3.6,"Union County, Georgia"
"11,376","10,875",501,4.4,"Upson County, Georgia"
"31,167","29,961","1,206",3.9,"Walker County, Georgia"
"45,262","43,654","1,608",3.6,"Walton County, Georgia"
"15,646","15,030",616,3.9,"Ware County, Georgia"
"2,748","2,611",137,5,"Warren County, Georgia"
"7,157","6,799",358,5,"Washington County, Georgia"
"11,398","10,868",530,4.6,"Wayne County, Georgia"
"1,001",938,63,6.3,"Webster County, Georgia"
"1,670","1,547",123,7.4,"Wheeler County, Georgia"
"16,103","15,612",491,3,"White County, Georgia"
"45,256","43,107","2,149",4.7,"Whitfield County, Georgia"
"2,679","2,539",140,5.2,"Wilcox County, Georgia"
"3,891","3,713",178,4.6,"Wilkes County, Georgia"
"3,833","3,663",170,4.4,"Wilkinson County, Georgia"
"9,182","8,778",404,4.4,"Worth County, Georgia"
"91,305","88,577","2,728",3,"Hawaii County, Hawaii"
"465,193","454,330","10,863",2.3,"Honolulu County, Hawaii"
"36,100","35,193",907,2.5,"Kalawao County, Hawaii"
"86,137","84,028","2,109",2.4,"Kauai County, Hawaii"
"244,525","238,510","6,015",2.5,"Maui County, Hawaii"
"1,722","1,628",94,5.5,"Ada County, Idaho"
"41,686","40,547","1,139",2.7,"Adams County, Idaho"
"2,835","2,753",82,2.9,"Bannock County, Idaho"
"4,021","3,835",186,4.6,"Bear Lake County, Idaho"
"23,357","22,724",633,2.7,"Benewah County, Idaho"
"12,323","12,032",291,2.4,"Bingham County, Idaho"
"3,329","3,188",141,4.2,"Blaine County, Idaho"
"19,610","18,807",803,4.1,"Boise County, Idaho"
"55,403","54,077","1,326",2.4,"Bonner County, Idaho"
"5,296","5,061",235,4.4,"Bonneville County, Idaho"
"1,382","1,338",44,3.2,"Boundary County, Idaho"
690,674,16,2.3,"Butte County, Idaho"
"100,275","97,188","3,087",3.1,"Camas County, Idaho"
"3,831","3,723",108,2.8,"Canyon County, Idaho"
"11,750","11,488",262,2.2,"Caribou County, Idaho"
405,393,12,3,"Cassia County, Idaho"
"2,925","2,728",197,6.7,"Clark County, Idaho"
"2,190","2,102",88,4,"Clearwater County, Idaho"
"11,416","11,044",372,3.3,"Custer County, Idaho"
"6,920","6,772",148,2.1,"Elmore County, Idaho"
"7,781","7,592",189,2.4,"Franklin County, Idaho"
"8,141","7,862",279,3.4,"Fremont County, Idaho"
"8,105","7,910",195,2.4,"Gem County, Idaho"
"6,426","6,125",301,4.7,"Gooding County, Idaho"
"13,488","13,183",305,2.3,"Idaho County, Idaho"
"11,963","11,659",304,2.5,"Jefferson County, Idaho"
"77,765","75,065","2,700",3.5,"Jerome County, Idaho"
"20,267","19,769",498,2.5,"Kootenai County, Idaho"
"3,511","3,354",157,4.5,"Latah County, Idaho"
"1,637","1,547",90,5.5,"Lemhi County, Idaho"
"2,738","2,646",92,3.4,"Lewis County, Idaho"
"21,678","21,304",374,1.7,"Lincoln County, Idaho"
"11,031","10,753",278,2.5,"Madison County, Idaho"
"21,053","20,474",579,2.8,"Minidoka County, Idaho"
"2,339","2,288",51,2.2,"Nez Perce County, Idaho"
"5,448","5,252",196,3.6,"Oneida County, Idaho"
"11,535","11,122",413,3.6,"Owyhee County, Idaho"
"4,090","3,972",118,2.9,"Payette County, Idaho"
"5,068","4,777",291,5.7,"Power County, Idaho"
"6,407","6,263",144,2.2,"Shoshone County, Idaho"
"40,747","39,651","1,096",2.7,"Teton County, Idaho"
"5,313","5,113",200,3.8,"Twin Falls County, Idaho"
"4,632","4,440",192,4.1,"Valley County, Idaho"
"32,893","31,616","1,277",3.9,"Washington County, Idaho"
"2,153","1,982",171,7.9,"Adams County, Illinois"
"7,929","7,582",347,4.4,"Alexander County, Illinois"
"26,473","24,950","1,523",5.8,"Bond County, Illinois"
"2,896","2,818",78,2.7,"Boone County, Illinois"
"17,390","16,519",871,5,"Brown County, Illinois"
"2,340","2,215",125,5.3,"Bureau County, Illinois"
"7,525","7,190",335,4.5,"Calhoun County, Illinois"
"6,162","5,885",277,4.5,"Carroll County, Illinois"
"105,669","101,016","4,653",4.4,"Cass County, Illinois"
"14,837","14,052",785,5.3,"Champaign County, Illinois"
"7,775","7,373",402,5.2,"Christian County, Illinois"
"6,611","6,260",351,5.3,"Clark County, Illinois"
"20,378","19,650",728,3.6,"Clay County, Illinois"
"24,195","23,024","1,171",4.8,"Clinton County, Illinois"
"2,611,512","2,506,103","105,409",4,"Coles County, Illinois"
"8,777","8,307",470,5.4,"Cook County, Illinois"
"6,080","5,834",246,4,"Crawford County, Illinois"
"55,487","53,047","2,440",4.4,"Cumberland County, Illinois"
"7,582","7,197",385,5.1,"DeKalb County, Illinois"
"10,212","9,793",419,4.1,"De Witt County, Illinois"
"508,650","492,726","15,924",3.1,"Douglas County, Illinois"
"9,200","8,770",430,4.7,"DuPage County, Illinois"
"2,779","2,653",126,4.5,"Edgar County, Illinois"
"19,119","18,403",716,3.7,"Edwards County, Illinois"
"9,810","9,291",519,5.3,"Effingham County, Illinois"
"6,334","6,029",305,4.8,"Fayette County, Illinois"
"17,065","16,016","1,049",6.1,"Ford County, Illinois"
"15,224","14,273",951,6.2,"Franklin County, Illinois"
"2,434","2,294",140,5.8,"Fulton County, Illinois"
"6,015","5,720",295,4.9,"Gallatin County, Illinois"
"25,255","24,072","1,183",4.7,"Greene County, Illinois"
"4,493","4,297",196,4.4,"Grundy County, Illinois"
"8,469","8,069",400,4.7,"Hamilton County, Illinois"
"1,343","1,238",105,7.8,"Hancock County, Illinois"
"3,664","3,481",183,5,"Hardin County, Illinois"
"25,083","23,824","1,259",5,"Henderson County, Illinois"
"14,394","13,749",645,4.5,"Henry County, Illinois"
"28,137","26,847","1,290",4.6,"Iroquois County, Illinois"
"4,617","4,389",228,4.9,"Jackson County, Illinois"
"17,661","16,723",938,5.3,"Jasper County, Illinois"
"11,007","10,473",534,4.9,"Jefferson County, Illinois"
"10,983","10,501",482,4.4,"Jersey County, Illinois"
"4,100","3,780",320,7.8,"Jo Daviess County, Illinois"
"273,901","260,449","13,452",4.9,"Johnson County, Illinois"
"55,920","52,888","3,032",5.4,"Kane County, Illinois"
"67,661","65,281","2,380",3.5,"Kankakee County, Illinois"
"22,203","21,020","1,183",5.3,"Kendall County, Illinois"
"378,401","361,302","17,099",4.5,"Knox County, Illinois"
"56,230","52,968","3,262",5.8,"Lake County, Illinois"
"5,981","5,629",352,5.9,"LaSalle County, Illinois"
"17,831","17,043",788,4.4,"Lawrence County, Illinois"
"16,610","15,876",734,4.4,"Lee County, Illinois"
"12,852","12,246",606,4.7,"Livingston County, Illinois"
"13,359","12,675",684,5.1,"Logan County, Illinois"
"165,849","160,050","5,799",3.5,"McDonough County, Illinois"
"87,889","84,209","3,680",4.2,"McHenry County, Illinois"
"49,961","47,166","2,795",5.6,"McLean County, Illinois"
"23,066","21,934","1,132",4.9,"Macon County, Illinois"
"134,575","128,495","6,080",4.5,"Macoupin County, Illinois"
"17,778","16,899",879,4.9,"Madison County, Illinois"
"5,510","5,224",286,5.2,"Marion County, Illinois"
"6,318","5,939",379,6,"Marshall County, Illinois"
"5,748","5,345",403,7,"Mason County, Illinois"
"6,689","6,421",268,4,"Massac County, Illinois"
"8,103","7,675",428,5.3,"Menard County, Illinois"
"18,595","17,951",644,3.5,"Mercer County, Illinois"
"11,891","11,185",706,5.9,"Monroe County, Illinois"
"16,309","15,590",719,4.4,"Montgomery County, Illinois"
"7,524","7,235",289,3.8,"Morgan County, Illinois"
"25,289","24,014","1,275",5,"Moultrie County, Illinois"
"87,398","82,552","4,846",5.5,"Ogle County, Illinois"
"8,456","7,951",505,6,"Peoria County, Illinois"
"8,430","8,067",363,4.3,"Perry County, Illinois"
"7,256","6,907",349,4.8,"Piatt County, Illinois"
"1,751","1,644",107,6.1,"Pike County, Illinois"
"2,055","1,886",169,8.2,"Pope County, Illinois"
"3,040","2,881",159,5.2,"Pulaski County, Illinois"
"14,202","13,572",630,4.4,"Putnam County, Illinois"
"7,455","7,105",350,4.7,"Randolph County, Illinois"
"71,847","68,090","3,757",5.2,"Richland County, Illinois"
"127,192","120,769","6,423",5,"Rock Island County, Illinois"
"9,879","9,236",643,6.5,"St. Clair County, Illinois"
"104,949","100,443","4,506",4.3,"Saline County, Illinois"
"3,334","3,185",149,4.5,"Sangamon County, Illinois"
"2,481","2,348",133,5.4,"Schuyler County, Illinois"
"10,725","10,262",463,4.3,"Scott County, Illinois"
"2,587","2,424",163,6.3,"Shelby County, Illinois"
"21,904","20,863","1,041",4.8,"Stark County, Illinois"
"65,386","62,196","3,190",4.9,"Stephenson County, Illinois"
"7,423","6,943",480,6.5,"Tazewell County, Illinois"
"33,578","31,504","2,074",6.2,"Union County, Illinois"
"5,728","5,473",255,4.5,"Vermilion County, Illinois"
"8,691","8,324",367,4.2,"Wabash County, Illinois"
"9,625","9,335",290,3,"Warren County, Illinois"
"6,949","6,563",386,5.6,"Washington County, Illinois"
"6,685","6,397",288,4.3,"Wayne County, Illinois"
"28,466","27,164","1,302",4.6,"White County, Illinois"
"357,226","342,785","14,441",4,"Whiteside County, Illinois"
"31,873","30,236","1,637",5.1,"Will County, Illinois"
"141,196","133,101","8,095",5.7,"Williamson County, Illinois"
"19,161","18,379",782,4.1,"Winnebago County, Illinois"
"17,494","17,038",456,2.6,"Woodford County, Illinois"
"184,863","179,032","5,831",3.2,"Adams County, Indiana"
"45,295","44,110","1,185",2.6,"Allen County, Indiana"
"4,574","4,427",147,3.2,"Bartholomew County, Indiana"
"5,341","5,135",206,3.9,"Benton County, Indiana"
"35,904","34,933",971,2.7,"Blackford County, Indiana"
"7,659","7,416",243,3.2,"Boone County, Indiana"
"10,264","9,928",336,3.3,"Brown County, Indiana"
"18,296","17,620",676,3.7,"Carroll County, Indiana"
"61,620","59,509","2,111",3.4,"Cass County, Indiana"
"12,332","11,850",482,3.9,"Clark County, Indiana"
"17,200","16,715",485,2.8,"Clay County, Indiana"
"4,958","4,736",222,4.5,"Clinton County, Indiana"
"16,531","16,084",447,2.7,"Crawford County, Indiana"
"26,132","25,182",950,3.6,"Daviess County, Indiana"
"14,967","14,519",448,3,"Dearborn County, Indiana"
"22,501","21,865",636,2.8,"Decatur County, Indiana"
"54,159","51,986","2,173",4,"DeKalb County, Indiana"
"23,357","22,777",580,2.5,"Delaware County, Indiana"
"116,267","113,255","3,012",2.6,"Dubois County, Indiana"
"9,203","8,776",427,4.6,"Elkhart County, Indiana"
"41,401","40,026","1,375",3.3,"Fayette County, Indiana"
"8,131","7,837",294,3.6,"Floyd County, Indiana"
"11,395","10,972",423,3.7,"Fountain County, Indiana"
"9,958","9,620",338,3.4,"Franklin County, Indiana"
"19,475","18,954",521,2.7,"Fulton County, Indiana"
"32,239","30,996","1,243",3.9,"Gibson County, Indiana"
"13,754","13,145",609,4.4,"Grant County, Indiana"
"181,103","176,224","4,879",2.7,"Greene County, Indiana"
"39,772","38,566","1,206",3,"Hamilton County, Indiana"
"20,172","19,474",698,3.5,"Hancock County, Indiana"
"88,595","86,041","2,554",2.9,"Harrison County, Indiana"
"22,475","21,683",792,3.5,"Hendricks County, Indiana"
"37,645","36,116","1,529",4.1,"Henry County, Indiana"
"18,376","17,722",654,3.6,"Howard County, Indiana"
"22,870","22,219",651,2.8,"Huntington County, Indiana"
"16,509","15,860",649,3.9,"Jackson County, Indiana"
"9,843","9,516",327,3.3,"Jasper County, Indiana"
"15,100","14,582",518,3.4,"Jay County, Indiana"
"13,642","13,145",497,3.6,"Jefferson County, Indiana"
"82,164","79,802","2,362",2.9,"Jennings County, Indiana"
"18,898","18,283",615,3.3,"Johnson County, Indiana"
"42,697","41,567","1,130",2.6,"Knox County, Indiana"
"20,613","20,098",515,2.5,"Kosciusko County, Indiana"
"232,368","220,886","11,482",4.9,"LaGrange County, Indiana"
"48,027","45,925","2,102",4.4,"Lake County, Indiana"
"21,152","20,339",813,3.8,"LaPorte County, Indiana"
"59,431","57,126","2,305",3.9,"Lawrence County, Indiana"
"490,706","473,574","17,132",3.5,"Madison County, Indiana"
"23,481","22,735",746,3.2,"Marion County, Indiana"
"5,214","5,071",143,2.7,"Marshall County, Indiana"
"15,892","15,254",638,4,"Martin County, Indiana"
"69,690","67,180","2,510",3.6,"Miami County, Indiana"
"19,157","18,575",582,3,"Monroe County, Indiana"
"36,392","35,160","1,232",3.4,"Montgomery County, Indiana"
"7,117","6,808",309,4.3,"Morgan County, Indiana"
"23,666","22,972",694,2.9,"Newton County, Indiana"
"3,201","3,089",112,3.5,"Noble County, Indiana"
"8,597","8,264",333,3.9,"Ohio County, Indiana"
"9,350","8,943",407,4.4,"Orange County, Indiana"
"7,169","6,883",286,4,"Owen County, Indiana"
"9,323","8,979",344,3.7,"Parke County, Indiana"
"6,140","5,926",214,3.5,"Perry County, Indiana"
"86,770","83,434","3,336",3.8,"Pike County, Indiana"
"13,731","13,343",388,2.8,"Porter County, Indiana"
"6,528","6,324",204,3.1,"Posey County, Indiana"
"16,882","16,245",637,3.8,"Pulaski County, Indiana"
"11,614","11,160",454,3.9,"Putnam County, Indiana"
"14,080","13,573",507,3.6,"Randolph County, Indiana"
"9,038","8,778",260,2.9,"Ripley County, Indiana"
"136,728","131,857","4,871",3.6,"Rush County, Indiana"
"10,612","10,197",415,3.9,"St. Joseph County, Indiana"
"23,195","22,476",719,3.1,"Scott County, Indiana"
"10,983","10,623",360,3.3,"Shelby County, Indiana"
"10,484","10,030",454,4.3,"Spencer County, Indiana"
"20,351","19,809",542,2.7,"Starke County, Indiana"
"8,616","8,214",402,4.7,"Steuben County, Indiana"
"5,096","4,898",198,3.9,"Sullivan County, Indiana"
"97,693","94,612","3,081",3.2,"Switzerland County, Indiana"
"9,238","8,979",259,2.8,"Tippecanoe County, Indiana"
"3,671","3,556",115,3.1,"Tipton County, Indiana"
"95,249","92,211","3,038",3.2,"Union County, Indiana"
"7,169","6,774",395,5.5,"Vanderburgh County, Indiana"
"49,142","46,989","2,153",4.4,"Vermillion County, Indiana"
"14,901","14,381",520,3.5,"Vigo County, Indiana"
"4,219","4,083",136,3.2,"Wabash County, Indiana"
"33,148","32,176",972,2.9,"Warren County, Indiana"
"13,767","13,282",485,3.5,"Warrick County, Indiana"
"31,319","30,193","1,126",3.6,"Washington County, Indiana"
"14,396","13,991",405,2.8,"Wayne County, Indiana"
"13,639","13,220",419,3.1,"Wells County, Indiana"
"17,645","17,141",504,2.9,"White County, Indiana"
"4,116","4,018",98,2.4,"Whitley County, Indiana"
"2,119","2,078",41,1.9,"Adair County, Iowa"
"7,366","7,140",226,3.1,"Adams County, Iowa"
"5,856","5,662",194,3.3,"Allamakee County, Iowa"
"3,116","3,040",76,2.4,"Appanoose County, Iowa"
"13,356","12,995",361,2.7,"Audubon County, Iowa"
"68,953","67,044","1,909",2.8,"Benton County, Iowa"
"14,816","14,499",317,2.1,"Black Hawk County, Iowa"
"13,845","13,564",281,2,"Boone County, Iowa"
"11,185","10,899",286,2.6,"Bremer County, Iowa"
"11,349","11,108",241,2.1,"Buchanan County, Iowa"
"7,833","7,618",215,2.7,"Buena Vista County, Iowa"
"4,290","4,182",108,2.5,"Butler County, Iowa"
"10,811","10,609",202,1.9,"Calhoun County, Iowa"
"7,098","6,908",190,2.7,"Carroll County, Iowa"
"10,759","10,499",260,2.4,"Cass County, Iowa"
"23,298","22,691",607,2.6,"Cedar County, Iowa"
"5,943","5,815",128,2.2,"Cerro Gordo County, Iowa"
"6,407","6,234",173,2.7,"Cherokee County, Iowa"
"4,801","4,665",136,2.8,"Chickasaw County, Iowa"
"8,583","8,310",273,3.2,"Clarke County, Iowa"
"10,133","9,812",321,3.2,"Clay County, Iowa"
"22,606","21,878",728,3.2,"Clayton County, Iowa"
"8,122","7,846",276,3.4,"Clinton County, Iowa"
"47,653","46,835",818,1.7,"Crawford County, Iowa"
"4,251","4,138",113,2.7,"Dallas County, Iowa"
"4,322","4,225",97,2.2,"Davis County, Iowa"
"10,411","10,196",215,2.1,"Decatur County, Iowa"
"19,450","18,816",634,3.3,"Delaware County, Iowa"
"9,865","9,554",311,3.2,"Des Moines County, Iowa"
"55,213","53,880","1,333",2.4,"Dickinson County, Iowa"
"5,292","5,147",145,2.7,"Dubuque County, Iowa"
"10,572","10,259",313,3,"Emmet County, Iowa"
"8,806","8,569",237,2.7,"Fayette County, Iowa"
"5,783","5,660",123,2.1,"Floyd County, Iowa"
"3,704","3,635",69,1.9,"Franklin County, Iowa"
"5,400","5,278",122,2.3,"Fremont County, Iowa"
"6,544","6,382",162,2.5,"Greene County, Iowa"
"5,570","5,426",144,2.6,"Grundy County, Iowa"
"6,936","6,749",187,2.7,"Guthrie County, Iowa"
"5,974","5,836",138,2.3,"Hamilton County, Iowa"
"8,248","8,013",235,2.8,"Hancock County, Iowa"
"7,291","7,130",161,2.2,"Hardin County, Iowa"
"9,580","9,343",237,2.5,"Harrison County, Iowa"
"5,180","5,049",131,2.5,"Henry County, Iowa"
"5,180","5,050",130,2.5,"Howard County, Iowa"
"4,091","4,011",80,2,"Humboldt County, Iowa"
"10,407","10,192",215,2.1,"Ida County, Iowa"
"10,932","10,631",301,2.8,"Iowa County, Iowa"
"19,266","18,760",506,2.6,"Jackson County, Iowa"
"9,203","8,984",219,2.4,"Jasper County, Iowa"
"85,186","83,551","1,635",1.9,"Jefferson County, Iowa"
"10,484","10,172",312,3,"Johnson County, Iowa"
"5,088","4,941",147,2.9,"Jones County, Iowa"
"8,514","8,342",172,2,"Keokuk County, Iowa"
"15,996","15,358",638,4,"Kossuth County, Iowa"
"119,524","116,211","3,313",2.8,"Lee County, Iowa"
"6,075","5,916",159,2.6,"Linn County, Iowa"
"4,467","4,378",89,2,"Louisa County, Iowa"
"6,949","6,842",107,1.5,"Lucas County, Iowa"
"8,397","8,132",265,3.2,"Lyon County, Iowa"
"11,695","11,406",289,2.5,"Madison County, Iowa"
"17,849","17,486",363,2,"Mahaska County, Iowa"
"18,008","17,210",798,4.4,"Marion County, Iowa"
"7,307","7,156",151,2.1,"Marshall County, Iowa"
"5,732","5,625",107,1.9,"Mills County, Iowa"
"4,456","4,333",123,2.8,"Mitchell County, Iowa"
"3,898","3,784",114,2.9,"Monona County, Iowa"
"4,923","4,803",120,2.4,"Monroe County, Iowa"
"21,734","21,159",575,2.6,"Montgomery County, Iowa"
"8,111","7,950",161,2,"Muscatine County, Iowa"
"3,512","3,444",68,1.9,"O'Brien County, Iowa"
"6,377","6,217",160,2.5,"Osceola County, Iowa"
"4,895","4,788",107,2.2,"Page County, Iowa"
"14,786","14,507",279,1.9,"Palo Alto County, Iowa"
"4,311","4,232",79,1.8,"Plymouth County, Iowa"
"264,356","257,650","6,706",2.5,"Pocahontas County, Iowa"
"47,848","46,733","1,115",2.3,"Polk County, Iowa"
"10,435","10,193",242,2.3,"Pottawattamie County, Iowa"
"2,524","2,454",70,2.8,"Poweshiek County, Iowa"
"5,273","5,148",125,2.4,"Ringgold County, Iowa"
"86,878","84,311","2,567",3,"Sac County, Iowa"
"6,651","6,519",132,2,"Scott County, Iowa"
"20,433","20,069",364,1.8,"Shelby County, Iowa"
"57,756","56,840",916,1.6,"Sioux County, Iowa"
"9,509","9,228",281,3,"Story County, Iowa"
"3,227","3,163",64,2,"Tama County, Iowa"
"6,375","6,149",226,3.5,"Taylor County, Iowa"
"3,666","3,567",99,2.7,"Union County, Iowa"
"17,604","17,002",602,3.4,"Van Buren County, Iowa"
"27,637","27,007",630,2.3,"Wapello County, Iowa"
"12,123","11,840",283,2.3,"Warren County, Iowa"
"2,769","2,693",76,2.7,"Washington County, Iowa"
"19,109","18,487",622,3.3,"Wayne County, Iowa"
"4,979","4,850",129,2.6,"Webster County, Iowa"
"11,775","11,460",315,2.7,"Winnebago County, Iowa"
"55,149","53,777","1,372",2.5,"Winneshiek County, Iowa"
"4,162","4,049",113,2.7,"Woodbury County, Iowa"
"6,451","6,284",167,2.6,"Worth County, Iowa"
"6,313","6,059",254,4,"Wright County, Iowa"
"4,133","3,989",144,3.5,"Allen County, Kansas"
"6,985","6,662",323,4.6,"Anderson County, Kansas"
"2,396","2,334",62,2.6,"Atchison County, Kansas"
"13,413","12,970",443,3.3,"Barber County, Kansas"
"7,120","6,822",298,4.2,"Barton County, Kansas"
"5,353","5,190",163,3,"Bourbon County, Kansas"
"31,938","30,833","1,105",3.5,"Brown County, Kansas"
"1,484","1,445",39,2.6,"Butler County, Kansas"
"1,417","1,360",57,4,"Chase County, Kansas"
"10,046","9,669",377,3.8,"Chautauqua County, Kansas"
"1,313","1,282",31,2.4,"Cherokee County, Kansas"
"1,065","1,039",26,2.4,"Cheyenne County, Kansas"
"3,791","3,669",122,3.2,"Clark County, Kansas"
"3,784","3,651",133,3.5,"Clay County, Kansas"
"4,030","3,836",194,4.8,"Cloud County, Kansas"
882,860,22,2.5,"Coffey County, Kansas"
"16,735","16,161",574,3.4,"Comanche County, Kansas"
"18,746","17,996",750,4,"Cowley County, Kansas"
"1,251","1,213",38,3,"Crawford County, Kansas"
"9,142","8,821",321,3.5,"Decatur County, Kansas"
"4,181","4,033",148,3.5,"Dickinson County, Kansas"
"65,199","63,204","1,995",3.1,"Doniphan County, Kansas"
"1,512","1,475",37,2.4,"Douglas County, Kansas"
"1,165","1,126",39,3.3,"Edwards County, Kansas"
"16,868","16,466",402,2.4,"Elk County, Kansas"
"2,722","2,646",76,2.8,"Ellis County, Kansas"
"20,404","19,890",514,2.5,"Ellsworth County, Kansas"
"17,186","16,743",443,2.6,"Finney County, Kansas"
"14,029","13,526",503,3.6,"Ford County, Kansas"
"11,492","10,941",551,4.8,"Franklin County, Kansas"
"1,436","1,405",31,2.2,"Geary County, Kansas"
"1,121","1,085",36,3.2,"Gove County, Kansas"
"3,340","3,245",95,2.8,"Graham County, Kansas"
"3,437","3,369",68,2,"Grant County, Kansas"
855,838,17,2,"Gray County, Kansas"
"3,205","3,089",116,3.6,"Greeley County, Kansas"
"1,637","1,605",32,2,"Greenwood County, Kansas"
"2,748","2,669",79,2.9,"Hamilton County, Kansas"
"16,864","16,319",545,3.2,"Harper County, Kansas"
"2,211","2,163",48,2.2,"Harvey County, Kansas"
991,966,25,2.5,"Haskell County, Kansas"
"7,217","7,001",216,3,"Hodgeman County, Kansas"
"10,167","9,836",331,3.3,"Jackson County, Kansas"
"1,287","1,251",36,2.8,"Jefferson County, Kansas"
"336,677","326,954","9,723",2.9,"Jewell County, Kansas"
"2,083","2,034",49,2.4,"Johnson County, Kansas"
"3,409","3,299",110,3.2,"Kearny County, Kansas"
"1,306","1,275",31,2.4,"Kingman County, Kansas"
"10,272","9,862",410,4,"Kiowa County, Kansas"
796,774,22,2.8,"Labette County, Kansas"
"36,546","35,216","1,330",3.6,"Lane County, Kansas"
"1,684","1,642",42,2.5,"Leavenworth County, Kansas"
"4,448","4,187",261,5.9,"Lincoln County, Kansas"
"1,670","1,634",36,2.2,"Linn County, Kansas"
"16,617","16,030",587,3.5,"Logan County, Kansas"
"16,312","15,893",419,2.6,"Lyon County, Kansas"
"6,041","5,853",188,3.1,"McPherson County, Kansas"
"5,442","5,299",143,2.6,"Marion County, Kansas"
"2,291","2,243",48,2.1,"Marshall County, Kansas"
"17,469","16,840",629,3.6,"Meade County, Kansas"
"3,426","3,348",78,2.3,"Miami County, Kansas"
"14,834","14,194",640,4.3,"Mitchell County, Kansas"
"2,985","2,902",83,2.8,"Montgomery County, Kansas"
"1,169","1,131",38,3.3,"Morris County, Kansas"
"5,499","5,373",126,2.3,"Morton County, Kansas"
"6,010","5,716",294,4.9,"Nemaha County, Kansas"
"1,329","1,292",37,2.8,"Neosho County, Kansas"
"2,746","2,687",59,2.1,"Ness County, Kansas"
"7,945","7,641",304,3.8,"Norton County, Kansas"
"2,004","1,951",53,2.6,"Osage County, Kansas"
"3,005","2,918",87,2.9,"Osborne County, Kansas"
"2,940","2,847",93,3.2,"Ottawa County, Kansas"
"2,800","2,729",71,2.5,"Pawnee County, Kansas"
"12,278","11,935",343,2.8,"Phillips County, Kansas"
"4,952","4,815",137,2.8,"Pottawatomie County, Kansas"
"1,467","1,436",31,2.1,"Pratt County, Kansas"
"29,916","28,841","1,075",3.6,"Rawlins County, Kansas"
"2,401","2,335",66,2.7,"Reno County, Kansas"
"5,287","5,132",155,2.9,"Republic County, Kansas"
"35,429","34,407","1,022",2.9,"Rice County, Kansas"
"2,522","2,441",81,3.2,"Riley County, Kansas"
"1,660","1,615",45,2.7,"Rooks County, Kansas"
"3,352","3,252",100,3,"Rush County, Kansas"
"30,094","29,170",924,3.1,"Russell County, Kansas"
"2,858","2,801",57,2,"Saline County, Kansas"
"246,605","237,249","9,356",3.8,"Scott County, Kansas"
"9,554","9,239",315,3.3,"Sedgwick County, Kansas"
"91,125","87,941","3,184",3.5,"Seward County, Kansas"
"1,398","1,366",32,2.3,"Shawnee County, Kansas"
"2,894","2,812",82,2.8,"Sheridan County, Kansas"
"1,946","1,897",49,2.5,"Sherman County, Kansas"
"1,952","1,899",53,2.7,"Smith County, Kansas"
"1,010",984,26,2.6,"Stafford County, Kansas"
"2,655","2,580",75,2.8,"Stanton County, Kansas"
"10,784","10,403",381,3.5,"Stevens County, Kansas"
"4,230","4,120",110,2.6,"Sumner County, Kansas"
"1,381","1,337",44,3.2,"Thomas County, Kansas"
